staff_id,clinic_id,staff_role,weekly_hours,experience_years
ST001,CL006,GP,30,8
ST002,CL002,GP,20,18
ST003,CL001,Admin,20,1
ST004,CL001,GP,20,18
ST005,CL002,Admin,37.5,8
ST006,CL004,Admin,20,6
ST007,CL006,Nurse,30,5
ST008,CL002,Diagnostic Technician,30,4
ST009,CL001,Nurse,30,12
ST010,CL005,GP,20,15
ST011,CL005,GP,37.5,3
ST012,CL005,Nurse,30,7
ST013,CL006,GP,24,10
ST014,CL001,Coordinator,20,13
ST015,CL003,Nurse,30,6
ST016,CL003,Nurse,30,3
ST017,CL005,Admin,24,6
ST018,CL004,Nurse,24,11
ST019,CL001,GP,20,11
ST020,CL004,Nurse,24,11
ST021,CL002,Admin,37.5,15
ST022,CL002,GP,24,18
ST023,CL005,GP,37.5,13
ST024,CL003,GP,24,17
ST025,CL004,GP,20,4
ST026,CL002,Admin,37.5,3
ST027,CL004,Nurse,37.5,17
ST028,CL003,Diagnostic Technician,20,4
ST029,CL006,Coordinator,30,11
ST030,CL001,Nurse,24,15
ST031,CL001,Diagnostic Technician,30,17
ST032,CL002,Nurse,20,10
ST033,CL006,Nurse,24,5
ST034,CL003,Pharmacist,20,11
ST035,CL004,GP,30,10
ST036,CL002,GP,20,3
ST037,CL006,Nurse,20,18
ST038,CL002,GP,37.5,18
ST039,CL002,GP,37.5,7
ST040,CL005,Pharmacist,24,10
ST041,CL004,Diagnostic Technician,30,15
ST042,CL005,Nurse,24,8
ST043,CL001,Nurse,24,8
ST044,CL001,GP,20,8
ST045,CL001,Coordinator,30,3
ST046,CL005,GP,37.5,7
ST047,CL005,GP,37.5,8
ST048,CL004,Pharmacist,24,4
ST049,CL001,Admin,30,14
ST050,CL004,Nurse,20,4
ST051,CL001,Nurse,30,4
ST052,CL002,GP,37.5,5
ST053,CL004,GP,37.5,8
ST054,CL001,Nurse,20,2
ST055,CL006,Diagnostic Technician,20,3
ST056,CL002,GP,37.5,16
ST057,CL002,Coordinator,20,6
ST058,CL004,GP,37.5,9
ST059,CL004,Nurse,37.5,5
ST060,CL002,Nurse,20,18
