digital_access,long_term_condition,appointments,bad_outcomes,avg_waiting_days,avg_age,bad_outcome_rate
Low,Diabetes,23,13,11.347826086956522,62.78260869565217,56.52173913043478
Medium,Hypertension,35,19,11.142857142857142,53.74285714285714,54.285714285714285
Medium,Diabetes,43,19,11.953488372093023,45.04651162790697,44.18604651162791
High,Multiple,15,6,13.466666666666667,63.733333333333334,40.0
Low,,59,20,13.474576271186441,54.983050847457626,33.89830508474576
High,,125,42,12.88,58.864,33.6
High,Asthma,82,25,13.768292682926829,48.573170731707314,30.48780487804878
Low,Heart condition,10,3,16.2,62.1,30.0
High,Hypertension,48,14,11.9375,63.020833333333336,29.166666666666668
Medium,Multiple,26,7,12.846153846153847,55.0,26.923076923076923
Medium,,89,23,13.01123595505618,62.49438202247191,25.842696629213485
Low,Asthma,20,5,11.2,60.05,25.0
High,Diabetes,37,8,11.81081081081081,47.45945945945946,21.62162162162162
High,Heart condition,14,3,12.857142857142858,52.142857142857146,21.428571428571427
Medium,Asthma,42,9,12.80952380952381,45.54761904761905,21.428571428571427
Low,Hypertension,10,2,12.8,76.3,20.0
Low,Multiple,10,1,16.1,49.6,10.0
Medium,Heart condition,12,1,14.916666666666666,40.166666666666664,8.333333333333332
